feature,importance_mean,importance_std
distance_to_goal,0.11450067088364961,0.027788588549757534
player_finishing_skill,0.058098524055970865,0.0062533626760828374
last_defensive_line_x,0.05068525972781292,0.001098106131198466
speed_avg,0.04944412497603985,0.002507704374371459
last_defensive_line_height,0.04728531723212574,0.0013405366388597945
pitch_control,0.03317519647306884,0.0013314245808810118
distance_covered,0.03298591144335824,0.002410275978033546
angle_to_goal,0.024420164845696722,0.005160867467707826
trajectory_angle,0.021535365152386375,0.0020944443381934272
penalty_area,0.01647738163695609,0.0012689846922139501
defenders_within_3m,0.008877228292121887,0.0007447130747375762
defenders_in_triangle,0.008091336016867923,0.0010691723247216618
inside_defensive_shape,0.00736055204140309,0.0014419858580828583
